1   Microsoft Corporation	MSFT	5.52383	   182.11	-1.14	(-0.62%)
114	Boston Scientific Corporation	BSX	0.209525	   37.50	-0.49	(-1.29%)
115	Northrop Grumman Corporation	NOC	0.207738	   330.67	-4.53	(-1.35%)
116	Applied Materials Inc.	AMAT	0.205169	   55.40	-0.78	(-1.39%)
117	Morgan Stanley	MS	0.203397	   44.70	0.50	(1.13%)
118	U.S. Bancorp	USB	0.199987	   36.69	1.13	(3.18%)
119	Illinois Tool Works Inc.	ITW	0.199451	   171.23	-1.23	(-0.71%)
120	PNC Financial Services Group Inc.	PNC	0.197724	   114.67	0.63	(0.55%)
121	Truist Financial Corporation	TFC	0.195037	   38.06	1.28	(3.48%)
122	Dollar General Corporation	DG	0.192797	   191.50	-0.01	(-0.01%)
123	Sherwin-Williams Company	SHW	0.192759	   582.46	-11.39	(-1.92%)
124	Kimberly-Clark Corporation	KMB	0.191858	   141.28	-0.16	(-0.11%)
125	Deere & Company	DE	0.189265	   149.14	-2.98	(-1.96%)
126	Newmont Corporation	NEM	0.189033	   60.49	2.02	(3.45%)
127	Edwards Lifesciences Corporation	EW	0.184755	   74.27	-150.45	(-66.95%)
128	Norfolk Southern Corporation	NSC	0.183824	   178.34	0.05	(0.03%)
129	ConocoPhillips	COP	0.183138	   43.39	1.21	(2.87%)
130	Autodesk Inc.	ADSK	0.182862	   218.16	7.78	(3.70%)
131	Aon Plc Class A	AON	0.182341	   196.14	-0.81	(-0.41%)
132	Baxter International Inc.	BAX	0.18158	   90.39	0.38	(0.42%)
133	Progressive Corporation	PGR	0.1797	   78.34	0.66	(0.85%)
134	L3Harris Technologies Inc	LHX	0.174346	   196.12	-3.33	(-1.67%)
135	Estee Lauder Companies Inc. Class A	EL	0.173774	   200.43	2.96	(1.50%)
136	Moody's Corporation	MCO	0.171683	   277.04	9.63	(3.60%)
137	American Electric Power Company Inc.	AEP	0.166508	   86.14	0.89	(1.04%)
138	Waste Management Inc.	WM	0.164631	   106.01	-0.74	(-0.69%)
139	Analog Devices Inc.	ADI	0.164491	   112.78	-0.17	(-0.15%)
140	Charles Schwab Corporation	SCHW	0.162339	   36.51	0.60	(1.67%)
141	Roper Technologies Inc.	ROP	0.161749	   387.77	-6.03	(-1.53%)
142	Lam Research Corporation	LRCX	0.156633	   269.00	-4.67	(-1.71%)
143	Centene Corporation	CNC	0.152406	   65.70	-0.55	(-0.83%)
144	General Mills Inc.	GIS	0.150657	   63.54	0.50	(0.79%)
145	T-Mobile US Inc.	TMUS	0.149419	   99.93	-0.11	(-0.11%)
146	Digital Realty Trust Inc.	DLR	0.149201	   142.44	-1.12	(-0.78%)
147	DuPont de Nemours Inc.	DD	0.148575	   50.88	0.15	(0.30%)
148	Exelon Corporation	EXC	0.147202	   38.87	0.56	(1.46%)
